
hash_2bf10704e2a0ad4d,wzenableheavymetal
var_2c491b2b,lastteam
var_2bbeb776,v_angles_start
var_2b95ab5b,power_trig
var_291c422e,slot_weapon
var_28e3f41b,scoreaddition
var_289bde21,callbackfail
var_27781be7,stance_offset
var_272029d0,start_insertion
var_2695bc4a,n_count_total
var_25e4be49,entnumb
var_250c0b66,a_s_dog_spawn
var_24d0abd1,ignoreemp
var_24a53699,n_percent_health
var_23abafd7,laststage
var_2329780a,passedtime
var_22c317cc,unlockfunc
var_2276fbea,n_clipsize
var_21f814f,demolition_overtime
var_21f48975,hittime
var_213e9c69,n_time_travel
var_21243f81,n_perc
var_1f88db8a,a_s_trap
var_1e231644,bwastimejum
var_1cd2ff30,n_slowdowns
var_1cb20ce1,enemyeyepos
var_1ca047d8,n_damage_percent
var_1c114591,w_check
var_1ab696c6,ksweapon
var_1a58d0e4,kstime
var_19f450c9,wait_start
var_1909680b,handle1
var_1863e990,ee_path
var_1404a093,playerrolefields
var_1377a2a4,detachtag
var_117bb375,ksweap
var_10e8ffc4,placement_player
